,hospital_name,specialties,address,city_area
37,Dr. Kamil Daniel,"Old heart, adult blood vessels, heart and blood vessels, Giza, pyramid gardens",Al -Ahram Gardens: 5a Street,Giza - Al -Ahram Gardens
38,Dr. Mohamed Rizk,"General internal, children, family medicine, western, Tanta",Tanta: Al -Fateh next to Hamdi Shoman,Gharbia - Tanta
39,Dr. Muhammad Saif Al -Nasr,"Male diseases, urinary tracts, urinary tract adults, urinary tract surgery, urologist, Cairo, gathering",Assembly: Behind the air hospital,Cairo - Assembly
40,Dr. Abanoub Reverend Yaqoub,"Children's teeth, dental cosmetic, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental fixtures, dental rays, dental transplantation, teeth, Cairo, Shubra",Shubra: Abdul Karim Salman Street,Cairo - Shubra
41,Dr. Abanoub Magdy,"Children's teeth, dental cosmetic, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental fixtures, elderly teeth, dental rays, dental implants, adult teeth, teeth, Giza, pyramid gardens",Al -Ahram Gardens: Twenty Street,Giza - Al -Ahram Gardens
42,Dr. Abraham Parrovan,"Children's teeth, stuffing and treatment of roots and nerves, dental cosmetic, dental implant, dental fixtures, adult teeth, gum treatment, elderly teeth, teeth, Cairo, downtown",Downtown: Ramses,Cairo - Downtown
43,Dr. Ibrahim Hantira,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, children's bones, adult orthopedic surgery, bone surgery, bones, Giza, engineers",Mohandessin: Shehab Street,Giza - Engineers
44,Dr. Ibrahim Hantira,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, children's bones, adult orthopedic surgery, bone surgery, bones, Giza, engineers",Mohandessin: Shehab Street,Giza - Engineers
45,Dr. Ibrahim Shamdot,"Adult a spine surgery, adult neurosurgery, children's neurosurgery, children's column surgery, nerve and nerve surgery, Western, Tanta",Tanta: Aziz Fahmy next to Egypt Cinema,Gharbia - Tanta
46,Dr. Ibrahim Ezzat,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Helwan",Helwan: The Nile Corniche.,Cairo - Helwan
47,Dr. Ibrahim Anba,"Extraordinary physical therapy, stadium injuries, physical therapy and stadium injuries, Giza, and engineers",Mohandessin: Syria Street,Giza - Engineers
48,Dr. Ibrahim Al -Deeb,"Adult sensitivity and immunity, autoimmune diseases, sensitivity and children's immunity, respiratory sensitivity, chest and adult respiratory system, chest and respiratory system, chest and respiratory system, western, Tanta",Tanta: Hassan bin Thabit intersection with Al -Mu'tasim,Gharbia - Tanta
49,Dr. Ibrahim Al -Sayed,"Adult brain and neurosurgery, children's neurosurgery, neurosurgery and neurosurgery, Giza, 6 October",October 6: Al -Shifa Medical Palace Center,Giza - 6 October
50,Dr. Ibrahim Madi,"Children's teeth, teeth cosmetic, radical and nerve filling and treatment",Scaty,Cairo - Mokattam
51,Dr. Ibrahim Mabrouk,"Lizik, vision and white water, eyes, western, Tanta",Tanta,Gharbia - Tanta
52,Dr. Ibrahim Mohamed,"Old eyes, optical rehabilitation, lizards, vision and white water correction, children's eyes, network surgery and glass body, eyes, Alexandria, Cleopatra",Cleopatra: Medhat Saif Al Yazal St.,Alexandria - Cleopatra
53,Dr. Ibrahim Mohamed Abdel Majeed,"Adult blood vessels, adult heart, heart and blood vessels, Giza, Faisal",Faisal: Faisal Al -Raisa St. in front of Al -Arish St.,Giza - Faisal
54,Dr. Ibrahim Muhammad Musa,"General internal, sugar and adult endocrinology, adult liver, digestive system and adults, adult blood diseases, chest and adult respiratory system, internal, Cairo, gathering","Assembly: Twins Mall, top of Al -Fahm Restaurant - behind the New Cairo Court - Fifth Settlement inside the Glori Clinic clinic",Cairo - Assembly
55,Dr. Ibrahim Nofal,"Tuberculosis and an adult respiratory system, chest and respiratory system, respiratory sensitivity, chest and respiratory system, Cairo, Shubra",Shubra: The entrance to Cairo,Cairo - Shubra
56,Dr. Ibrahim Yahya Al -Manawi,"Facial plastic surgery, cosmetic and laser, burn surgery, eye plastic surgery, hand plastic surgery, nose surgery, children's distortions and birth defects, plastic surgery, Giza, engineers",Engineers: The hero Ahmed Abdel Aziz,Giza - Engineers
57,Dr. Ibrahim Yunus,"An adult nose and throat, an adult surgery, an adult earnings, an adult throat, a nose, the permission and the throat of children, the adult auditors, the hearing of children, the nose surgery, the permission and the children's throat, the nose, the ears, and the throat, Cairo, Helwan",Helwan: Mustafa Al -Maraghi,Cairo - Helwan
58,Dr. Abu Al -Atta Khairi,Belly,October 6,Giza - 6 October
59,Dr. Abu Bakr Shanan,"Old nose, ears and throat, nose, ears and throat, Cairo, Maadi",Hostile,Cairo - Maadi
60,Dr. Ahmed Al -Khatib,"Women's tumor surgery, adult tumors surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, lung tumor surgery, orthopedic tumor surgery, pediatric tumor surgery, prostate tumor surgery, stomach tumors surgery, tumor surgery, Giza, pyramid",Al -Haram: 103 Haram Street (main) next to the Jawhara Al -Ahram Hotel,Giza - the pyramid
61,Dr. Ahmed Al -Zayat,"Women and generation diseases, microscopic injection and sterility, women's tumors surgery, women and generation, Giza, Dokki",Dokki: Mossadeq Street,Giza - Dokki
62,Dr. Ahmed Al -Saeed,Belly surgery,Assembly: northern ninety,Cairo - Assembly
63,Dr. Ahmed Al -Shazly,"Adult feeding and feeding, adult physical therapy, children's physical therapy, stadium injuries, rehabilitation, physical therapy and stadium injuries, Western, Kafr El -Zayat Center","Kafr El -Zayat Center: Atris over the old eastern weavers, next to Abu Ezza Restaurant",Western - Kafr El -Zayat Center
64,Dr. Ahmed Al -Awamari,"Older spine surgery, children's neurosurgery, adult neurosurgery, neurosurgery, oriental surgery, oriental, Zagazig",Zagazig: the path of the position of Mansoura,Eastern - Zagazig
65,Dr. Ahmed Al -Fishawy,"Stadium and endoscopy injuries, foot and ankle bones, joint change, adult bones, orthopedic orthopedic, hand and shoulder bones, children's bones, adult oral surgery, bones, Giza, Dokki",Dokki: Tahrir Street,Giza - Dokki
66,Dr. Ahmed Al -Leithy,"Gynecology and generation diseases, microscopic injection and sterility, women's tumors surgery, women's plastic surgery, birth, women and obstetrics, Giza, Dokki",Dokki: Tahrir Street,Giza - Dokki
67,Dr. Ahmed Al -Mikati,"Children's teeth, dental cosmetics, radical and nerve treatment, gum treatment, dental orthodontics, dental installations, elderly teeth, dental implant, adult teeth, teeth, Alexandria, Smouha",Smouha,Alexandria - Smouha
68,Dr. Ahmed Bahgat,"Obesity and slimming surgery, adult general surgery, gastrointestinal surgery and adult endoscopy, obesity and endoscopic surgery, Cairo, Assembly",Assembly: Fifth Settlement,Cairo - Assembly
69,Dr. Ahmed Bahgat,"Obesity and slimming surgery, gastrointestinal surgery and adult perspectives, adult general surgery, obesity and endoscopic surgery, Cairo, Manial",Manial: Al -Qasr Al -Aini Street,Cairo - Manial
70,Dr. Ahmed Rabie,"Genital diseases, male diseases, adult skin, cosmetic and lazer, children's skin, leather, Cairo, Heliopolis",Heliopolis: Hijaz,Cairo - Heliopolis
71,Dr. Ahmed Rizk,"Adult spine surgery, adult brey and neurosurgery, children's neurosurgery, baby column surgery, neurosurgery, Cairo, assembly",Assembly: northern ninety Street,Cairo - Assembly
72,Dr. Ahmed Rustom,"General inner, sugar and adult endless glands, chest and an adult respiratory system, adult heart, internal heart, Giza, Dokki",Dokki: Dokki Street,Giza - Dokki
73,Dr. Ahmed Refaat Sharif,"Obesity and slimming surgery, adult surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, adult tumors surgery, breast tumor surgery, colon tumor surgery, stomach tumor surgery, general surgery, Giza, Dokki",Dokki: Tahrir Street,Giza - Dokki
74,Dr. Ahmed Saeed Ahmed,"Sugar and endocrine glands, general internal, digestive system and adults, adult blood diseases, adult heart, urinary tract adults, chest and adult respiratory system, interior, Giza, pyramid",Pyramid: Falcon branched from Zaghloul Meshaal,Giza - the pyramid
75,Dr. Ahmed Saeed Abdul Rahman,"Facial plastic surgery, burn surgery, hand plastic surgery, children's distortions and birth defects, cosmetic and laser, eye plastic surgery, nose surgery, plastic surgery, Eastern, Zagazig",Zagazig: National Square,Eastern - Zagazig
76,Dr. Ahmed Salam,"Older spine surgery, spine surgery, children",Heliopolis: Al -Nuzha,Cairo - Heliopolis
77,Dr. Ahmed Suleiman Al -Salhdar,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, joint change, adult column surgery, spine surgery, bones, Cairo, Shubra Al -Khaimah",Shubra Al -Khaimah: Kindergarten,Cairo - Shubra Al -Khaimah
78,Dr. Ahmed Samir Fouda,"Children, newborns, breastfeeding, slimming and feeding children, children and newborns, Cairo, Nasr City",Nasr City: 9 Oasis Street,Cairo - Nasr City
79,Dr. Ahmed Saqr,"Obesity and slimming surgery, adult general surgery, obesity and endoscopic surgery, Giza, Agouza",Agouza: Farid Shawky Street,Giza - Agouza
80,Dr. Ahmed Fathi Abu Fathi,"Facial plastic surgery, adult leather, cosmetic and laser, eye plastic surgery, hand plastic surgery, children's distortions and birth defects, plastic surgery, Giza, Dokki",Dokki: Mossadeq Street,Giza - Dokki
81,Dr. Ahmed Fikry,"Adult teeth, children's teeth, dental cosmetics, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental installations, elderly teeth, dental rays, dental transplantation, teeth, Giza, engineers",Mohandessin: The League of Arab States Street,Giza - Engineers
82,Dr. Ahmed Fawzi,"Olding general surgery, obesity and slimming surgery, belly surgery, endocrine surgery, gastrointestinal surgery and adult perspectives, injuries and accident surgery, women's tumor surgery, adult tumors surgery, breast tumor surgery, colon tumor surgery, pediatric tumor surgery, stomach tumor surgery, surgeryOld urinary tracts, general surgery, Giza, Sheikh Zayed","Sheikh Zayed: Bavroly Hills, the Quartet Gate, next to the Mukhtar Market",Giza - Sheikh Zayed
83,Dr. Ahmed Kamil Moselhi,"Facial plastic surgery, burn surgery, eye plastic surgery, hand surgery, nasal plastic surgery, children's abnormal surgery and birth defects, obesity and slimming surgery, cosmetic and laser, plastic surgery, Giza, Agouza",Agouza: Farid Shawky,Giza - Agouza
84,Dr. Ahmed Lammom,"Women's tumor surgery, adult tumor surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, orthopedic tumor surgery, pediatric tumor surgery, prostate tumor surgery, stomach tumors surgery, oncology surgery, western, Tanta",Tanta: The exhibition - the last Riffa Street over Hisham Pharmacy,Gharbia - Tanta
85,Dr. Ahmed Mohamed Hassan,"Old eyes, lizards, vision and white water correction, network surgery and glass body, optical rehabilitation, eyes, Port Said, Port Said City",Port Said City: Al -Talatini Street,Port Said - Port Said City
86,Dr. Ahmed Mohamed Khalifa,"Bone distortions, ankle and ankle bones, joint change, adult orthopedic surgery, stadium injuries and endoscopy, children's bones, children's rheumatism, pediatric orthopedic surgery, bones, western, Tanta","Tanta: Saad Zaghloul Square (Stout), behind the station, the pearl of the field",Gharbia - Tanta
87,Dr. Ahmed Mohamed Salem,"Adult blood vessels surgery, diabetes foot treatment, blood vessels surgery, Giza, engineers",Engineers,Giza - Engineers
88,Dr. Ahmed Mohamed Saqr,"Gynecology and generation, women's tumor surgery, women and obstetrics, Giza, engineers",Mohandessin: Sudan Street,Giza - Engineers
89,Dr. Ahmed Mohamed Abdel Qader,"Sugar and deaf glands, adults, adult liver, general internal, chest and adult respiratory system, internal, Cairo, Heliopolis",Heliopolis: branching from Al -Nuzha Street,Cairo - Heliopolis
90,Dr. Ahmed Yahya Al -Sadiq,"Older physical therapy, slimming and adult feeding, stadium injuries, physical therapy and stadium injuries, Giza, the pyramid",Pyramid: Tarsa,Giza - the pyramid
91,Dr. Ahmed Yahya Al -Sadiq,"Extreme physical therapy, slimming and adult feeding, stadium injuries, physical therapy and stadium injuries, Giza, and engineers",Engineers: The League of Arab States,Giza - Engineers
92,Dr. Ahmed Ibrahim Amin,"Sugar and endocrine glands, adult liver, digestive system and adults, general internal, internal, Cairo, gathering",Assembly: Cairo Medical Center St. Singer behind the Air Hospital,Cairo - Assembly
93,Dr. Ahmed Ibrahim Al -Hindawi,"Hearing and balanced disorder, nose, ears and adult larynx, nose surgery and adults and throat, nose and permission to children, nose surgery and larger children",Zagazig: Al -Galaa Street in front of the station,Eastern - Zagazig
94,Dr. Ahmed Ibrahim Abdel Rahim,"Diseases of women and obstetrics, women and obstetrics, oriental, Minya al -Qamh",Minya Al -Qamh: The position of the twin is up to the market,Eastern - Minya Al Qamh
95,Dr. Ahmed Abu Al -Hassan,"Adult brain and nerves, brain and nerves, brain and nerves, Giza, Dokki",Dokki: Tahrir Street,Giza - Dokki
96,Dr. Ahmed Abu Al -Saud,"Facial plastic surgery, burn surgery, eye plastic surgery, hand plastic surgery, nose plastic surgery, cosmetic and laser, adult leather surgery, children's distortions and birth defects, plastic surgery, Cairo, Assiut Center",Assiut Center: Al -Mahatta Square,Cairo - Assiut Center
97,Dr. Ahmed Abu Al -Ezz,"Male diseases, urinary tract surgery, urinary tract, urinary tract, urinary tract surgery, urinary tract, Qaliubiya, Benha Center",Banha Center: First Bridge St.,Qaliubiya - Benha Center
98,Dr. Ahmed Abu Al -Fath,"Adult teeth, teeth children, dental cosmetic, facial surgery and jaws, dental orthodontics, elderly teeth, dental rays, dental transplantation, teeth, Alexandria, Victoria",Victoria,Alexandria - Victoria
99,Dr. Ahmed Abu Al -Fadl,"Adult teeth, teeth, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
100,Dr. Ahmed Amin,"Extraordinary natural remedy, children's physical therapy, stadium injuries, rehabilitation, physical therapy and stadium injuries, Giza, 6 October",October 6: The eighth neighborhood,Giza - 6 October
101,Dr. Ahmed Amin Al -Maghribi,"Extraordinary rheumatism, children's rheumatism, rheumatism, Cairo, Helwan",Helwan,Cairo - Helwan
102,Dr. Ahmed Anwar,"General, internal, internal, Cairo, Nasr City",Nasr City: 92 Mustafa Al -Nahhas Street above,Cairo - Nasr City
103,Dr. Ahmed Anwar,"General, internal, internal, Cairo, Nasr City",Nasr City: 92 Mustafa Al -Nahhas Street above,Cairo - Nasr City
104,Dr. Ahmed Anwar,"Public adult surgery, general surgery, western, Tanta",Tanta: The main sweet before the intersection of Abdel -Sayed Abdel -Latif,Gharbia - Tanta
105,Dr. Ahmed Abu Al -Hassan,"Adult brain and nerves, brain and nerves, Giza, Sheikh Zayed",Sheikh Zayed: Mall of Al -Jazeera Plaza,Giza - Sheikh Zayed
106,Dr. Ahmed Abu Al -Azzim,"Adult brain and nerves, brain and nerves, Cairo, Heliopolis",Heliopolis,Cairo - Heliopolis
107,Dr. Ahmed Osama Rifai,"Dental cosmetic, radical and nerve filling and treatment",Dome Gardens: Egypt and Sudan,Cairo - Gardens of the Dome
108,Dr. Ahmed Ismail,"Adult feeding and feeding, slimming and feeding, Cairo, gathering",Gathering,Cairo - Assembly
109,Dr. Ahmed Ismail Hammouda,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, bone distortions, foot and ankle bones, joint change, orthopedic orthopedic, bones, Cairo, Heliopolis","Heliopolis: 60 Triumph Square, Heliopolis.",Cairo - Heliopolis
110,Dr. Ahmed Al -Banhawy,"Old heart, heart and blood vessels, Cairo, Nasr City","Nasr City: Hassanein Heikal, Nasr City",Cairo - Nasr City
111,Dr. Ahmed Al -Bitar,"Urinary urinary tract surgery, urinary tract surgery, male diseases, urologist, Cairo, Mokattam",Mokattam: Street 9,Cairo - Mokattam
112,Dr. Ahmed Al -Tarras,"Filling and treating roots and nerves, dental cosmetics, dental orthodontics, children's teeth, gum treatment, facial and jaws, dental fixtures, elderly teeth, dental rays, dental implants, adult teeth, teeth, western, Tanta",Tanta,Gharbia - Tanta
113,Dr. Ahmed Al -Jazzar,"Adult kidneys, male diseases, kids kidneys, urinary tract, urinary tract adults, urinary tract surgery, urinary tract surgery, urologist, Eastern, Zagazig, Zagazig","Zagazig: Next to the Sidnawi Hospital, Hyper Al -Salam, and the position of Mit Ghamr",Eastern - Zagazig
114,Dr. Ahmed El -Gammal,"Sugar and adult deaf glands, general internal, internal, Giza, Sheikh Zayed",Sheikh Zayed: Medi Point clinics - next to Sheikh Zayed Specialist Hospital - the highest Saif Pharmacy,Giza - Sheikh Zayed
115,Dr. Ahmed Al -Jundi,"Child tumor surgery, breast tumor surgery, colon tumor surgery, liver tumor surgery, adult tumor surgery, oncology surgery, western, Tanta",Tanta: Othman Mohamed Burj Safwa Othman,Gharbia - Tanta
116,Dr. Ahmed Al -Hajj,"Adult teeth, children's teeth, elderly teeth, orthodontic, filling and treatment of roots and nerves, teeth cosmetic, dental implant, facial surgery and jaws, gum treatment, teeth, Cairo, ancient Egypt",Ancient Egypt,Cairo - Ancient Egypt
117,Dr. Ahmed Al -Hajj,"Adult teeth, children's teeth, elderly teeth, orthodontic, filling and treatment of roots and nerves, teeth cosmetic, dental implant, facial surgery and jaws, gum treatment, teeth, Cairo, ancient Egypt",Ancient Egypt,Cairo - Ancient Egypt
118,Dr. Ahmed Al -Hadidi,"Old eyes, lasak and correction of vision and white water, eyes, Cairo, Abbasiya",Abbasid: Danish,Cairo - Abbasiya
119,Dr. Ahmed Al -Hussein Tawfiq,"Old bones, children's bones, adult orthopedic surgery, pediatric orthopedic surgery, foot and ankle bones, joint change, orthopedic orthopedic, hand and shoulder bones, adult rheumatism, children's rheumatism, bones, Giza, 6 October",October 6: The Central Axis,Giza - 6 October
120,Dr. Ahmed El -Sayed Youssef,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Heliopolis","Heliopolis: Obour Buildings, Salah Salem, Building 2, next to the Republican Guard, ground floor",Cairo - Heliopolis
121,Dr. Ahmed El -Sayed Youssef,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Nasr City",Nasr City: Youssef Abbas,Cairo - Nasr City
122,Dr. Ahmed El -Sayed Youssef,"Old heart, heart and blood vessels, Cairo, gathering",Gathering,Cairo - Assembly
123,Dr. Ahmed Al -Shazly,"Adult feeding and feeding, adult physical therapy, children's physical therapy, physical therapy and stadium injuries, Western, Tanta","Tanta: Al -Minshawi in front of Al -Minshawi Hospital, the highest heart center",Gharbia - Tanta
124,Dr. Ahmed Al -Shazly,"Stadium and endoscopy injuries, an adult column surgery, joint change, adult bones, hand and shoulder bones, peripheral neurosurgery, adult orthopedic surgery, bones, Cairo, Nasr City",Nasr City: The Charter Zahra Nasr City,Cairo - Nasr City
125,Dr. Ahmed Al -Shaer,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, hand and shoulder bones, children's bones, adult orthopedic surgery, baby orthopedic surgery, adult rheumatism, children's rheumatism, orthopedic, bones, western, Tanta",Tanta: In front of the intersection of Al -Helou Street with evacuation,Gharbia - Tanta
126,Dr. Ahmed Al -Shafi’i,"Digestive device and extractors of adults, adult liver, digestive and endoscopic device, Cairo, downtown","Downtown: 33 A. Al -Qasr Al -Aini Street, top of the National Bank, seventh floor",Cairo - Downtown
127,Dr. Ahmed Al -Shall,"Old eyes, lasak and correction of vision and white water, children's eyes, optical rehabilitation, eyes, Dakahlia, Mansoura",Mansoura: Port Said Street,Dakahlia - Mansoura
128,Dr. Ahmed Al -Shahat,"Obesity and slimming surgery, plastic surgery, Cairo, Heliopolis","Heliopolis: Nehru, Heliopolis",Cairo - Heliopolis
129,Dr. Ahmed Al -Sharqawi,"Older brain surgery, adult column surgery, children's neurosurgery, children's column surgery, children and neurosurgery, Eastern, Zagazig",Zagazig: Nujoud Tower for Doctors in front of the train station,Eastern - Zagazig
130,Dr. Ahmed Al -Ashry,"Psychology, myself, children, addiction treatment, toxin therapy, family consultations, adults and nerves, children and nerves, myself, Alexandria, Al -Ajami",Al -Ajmi: Zahra Al -Ajmi Towers (Tower B) Hanovil,Alexandria - Al -Ajmi
131,Dr. Ahmed Al -Ashry,"Old heart, adult blood vessels, heart and blood vessels, Cairo, Heliopolis",Heliopolis: Masaken Saqr Quraysh - Sheraton Residences,Cairo - Heliopolis
