Name,Services,Location,City/Area,Detail Address,Telephone,Image URL,Detail Page URL
Dr. Souna Ahmed Al -Adawi,Giza,"40 Egyptian Egyptians, Giza, Giza",Giza - Giza,,,,https://healtheg.com/ar/Item/33984/د-سونة-احمد-العدوى
D Shams Abdel -Fattah Metwally,Heliopolis,"14 Sharif St., Heliopolis, Cairo",Cairo - Heliopolis,,,,https://healtheg.com/ar/Item/34014/د-شمس-عبد-الفتاح-متولى
Dr. Samuel Babawi,downtown,"6 Ramses Building - Ramses Square - Role 2, in front of Al -Fateh Mosque, Downtown, Cairo",Cairo - Downtown,,,,https://healtheg.com/ar/Item/33988/د-صموئيل-بباوى
Dr. Adel Ibrahim Mohamed Bilal,Dokki,"55 Dokki St., Dokki, Giza",Giza - Dokki,,,,https://healtheg.com/ar/Item/34017/د-عادل-ابراهيم-محمد-بلال
Dr. Atef Taima,Baraka Al -Saba,"Gamal Abdel Nasser St., in front",Menoufia - Baraka Al -Saba,,,,https://healtheg.com/ar/Item/33990/د-عاطف-طعيمة
Dr. Fakhry Babawi,Beni Suef,"14 Harith Square, Beni Suef, Beni Suef",Beni Suef - Beni Suef,,,,https://healtheg.com/ar/Item/34007/د-فخرى-بباوى
Dr. Majid Salim,downtown,"Al -Gomhoria St., Downtown, Kafr El -Sheikh",Kafr El -Sheikh - downtown,,,,https://healtheg.com/ar/Item/34011/د-ماجد-سليم
Dr. Magda Shadi,Mansoura,"5 Bank of Egypt St., Mansoura, Dakahlia",Dakahlia - Mansoura,,,,https://healtheg.com/ar/Item/34012/د-ماجدة-شادى
Dr. Maher Abdel Salam,Mrs. Zainab,"36 Al -Koumi St., Sayyida Zainab, Cairo",Cairo - Mrs. Zainab,,,,https://healtheg.com/ar/Item/34013/د-ماهر-عبد-السلام
Dr. Muharram Al -Badawi,Bab al -Luq,"176 Al -Tahrir St., Bab Al -Luq, Cairo",Cairo - Bab Al -Luq,,,,https://healtheg.com/ar/Item/34015/د-محرم-البدوى
Dr. Mohamed Burj,Mansoura,"10 Al -Mahatta Square - Mit Hadr, next to Tawheed and Al -Nur, Mansoura, Dakahlia",Dakahlia - Mansoura,,,,https://healtheg.com/ar/Item/34018/د-محمد-برج
Dr. Mohamed Helmy Al -Qaffas,Abdeen,"127 Mohamed Farid El Bustan Square - Floor 4, Abdin, Cairo",Cairo - Abdin,,,,https://healtheg.com/ar/Item/34016/د-محمد-حلمى-القفاص
Dr. Mohamed Abdel Hadi,East Shams Ain,"2 Mustafa Nassar St., Ain Shams Al Sharqiya, Cairo",Cairo - Ain Shams East,,,,https://healtheg.com/ar/Item/34021/د-محمد-عبد-الهادى
Dr. Muhammad Essam El -Din Tawakkol,Helwan,"42 Ragheb St., the highest store of children",Cairo - Helwan,,,,https://healtheg.com/ar/Item/34022/د-محمد-عصام-الدين-توكل
Dr. Muhammad Musaad Muhammad,Running,"48 El Manial St., Manial, Cairo",Cairo - Manial,,,,https://healtheg.com/ar/Item/34027/د-محمد-مسعد-محمد
Dr. Wajih Al -Asyouti,Heliopolis,"18 Mansoura St., Heliopolis, Cairo",Cairo - Heliopolis,,,,https://healtheg.com/ar/Item/34037/د-وجيه-الاسيوطى
Dr. Yasmine Abu Muslim,Hostile,"9 Freedom Square, Maadi, Cairo",Cairo - Maadi,,,,https://healtheg.com/ar/Item/34041/د-ياسمين-ابو-مسلم
D.Saeed Al -Thami,Nasr City,"1 Al-Shahid St. Fouad Abdel Hakim Al-Jamal, Film Zone, Nasr City- Cairo",Cairo - Nasr City,,,,https://healtheg.com/ar/Item/33983/د--سعيد-التهامى
Medicine for radiology,Nasr City,"77 Al -Nasr Road, next to Taiba Mall, Nasr City, Cairo",Cairo - Nasr City,,,,https://healtheg.com/ar/Item/33974/دار-الطب-للاشعة
Swords of residents,Swords of the Swan,"47 Al Anwar Tower - Jamila Bouhred St. - Role 2, next to the village of Abdel Wahab, Swords, Alexandria",Alexandria - swords inch,,,,https://healtheg.com/ar/Item/33976/سيوف-سكان
Residents of residents for radiology and analysis,Magnetic resonance | Breast | Engineers,"38 Mohy El -Din Abu Al -Ezz St. - Fourth Role - Dokki - Giza, Egypt",Giza - Engineers,,,,https://healtheg.com/ar/Item/33973/صحة-سكان-للاشعة-والتحاليل
Hope clinic for radiology,The red corner,"Evangelist St., Red Corner, Cairo",Cairo - the red corner,,,,https://healtheg.com/ar/Item/243/عيادة-الامل-للأشعة
Suwaidan centers for radiation,Magnetic resonance | Al -Manzala,The house is the agricultural road in front of Egypt's position,Dakahlia - Manzala,,,,https://healtheg.com/ar/Item/39595/مراكز-سويدان-للاشعه
Dr. Khaled Abdel Aziz Radiology Center - Sono residents,Magnetic resonance | Multiple CT scan,"52 National St., Zagazig, Eastern",Eastern - Zagazig,,,,https://healtheg.com/ar/Item/33972/مركز-الدكتور-خالد-عبد-العزيز-للاشعة---سونو-سكان
Al Shorouk Radiology Center,Faisal,"Faisal Plaza Tower - Floor 1, over the Rajab Sons Supermarket - First Faisal Bridge, Faisal, Giza",Giza - Faisal,,,,https://healtheg.com/ar/Item/34026/مركز-الشروق-للاشعة
