,Hospital Name,Details Link,Address,City/Area,Description,Contact Info,Photos,Telephone,Email,Street Address,hospital_info,locationAfterConvert
23,Regional Center for blood transfusion in Alexandria,https://healtheg.com/ar/Item/1673/المركز-الاقليمى-لنقل-الدم-بالاسكندرية,"Abdul Qadir Abu Aqda St., inside the ambulance facility, Kom Al -Dikka, Alexandria",Alexandria-Kom Al-Dakka,N/a,,https://healtheg.com//content/images/healtheg_300.png,034951963 - 034951971,,"Abdul Qadir Abu Aqda St., inside the ambulance facility, Kom Al -Dikka, Alexandria",,Location not found
24,The regional center for blood transfusion in Ismailia,https://healtheg.com/ar/Item/1676/المركز-الاقليمى-لنقل-الدم-بالاسماعيلية,"Al -Maafa Square - Ismailia II District, Araishiya Egypt, Ismailia",Ismailia-Araishia Egypt,N/a,,https://healtheg.com//content/images/healtheg_300.png,0643359306 - 0643370374,,"Al -Maafa Square - Ismailia II District, Araishiya Egypt, Ismailia",,Location not found
25,The regional center for blood transfusion in Mansoura,https://healtheg.com/ar/Item/1675/المركز-الاقليمى-لنقل-الدم-بالمنصورة,"Sheikh Hassanein Square, Mansoura, Dakahlia",Dakahlia-Mansoura,N/a,,https://healtheg.com//content/images/healtheg_300.png,0502396781 - 0502266791,,"Sheikh Hassanein Square, Mansoura, Dakahlia",,Location not found
26,The regional center for blood transfusion in Minya,https://healtheg.com/ar/Item/1674/المركز-الاقليمى-لنقل-الدم-بالمنيا,"The Nile Corniche, next to the Institute of Oncology, Corniche, Minya",Minya-Corniche,N/a,,https://healtheg.com//content/images/healtheg_300.png,0862339241 - 0862339242 - 0862339243,,"The Nile Corniche, next to the Institute of Oncology, Corniche, Minya",,Location not found
27,World Specialized Center for Oncology,https://healtheg.com/ar/Item/1594/المركز-التخصصى-العالمى-لعلاج-الاورام,"May 14 Road, in front of Hilton Alexandria Green Plaza, Smouha, Alexandria",Alexandria-Smouha,N/a,,https://healtheg.com//content/images/healtheg_300.png,039575827 - 039575829 - 01008888601 - 01008888602,,"May 14 Road, in front of Hilton Alexandria Green Plaza, Smouha, Alexandria",,Location not found
28,Specialized Center for Neurosurgery,https://healtheg.com/ar/Item/3252/المركز-التخصصى-لجراحة-المخ-و-الاعصاب,"Dahdura Hoda, downtown, Fayoum",Fayoum-Central Country,N/a,,https://healtheg.com//content/images/healtheg_300.png,01001797978 - 01008010675,,"Dahdura Hoda, downtown, Fayoum",,Location not found
29,Specialized Center for Surgery and Dental Treatment,https://healtheg.com/ar/Item/1200/المركز-التخصصى-لجراحة-وعلاج-اللثة-والاسنان,"31 Ministry of Agriculture St., the highest pharmacy on Amidj, Dokki, Giza",Giza-Al-Diqi,N/a,,https://healtheg.com//content/images/healtheg_300.png,0237611724,,"31 Ministry of Agriculture St., the highest pharmacy on Amidj, Dokki, Giza",,Location not found
30,Specialized Center for Heart Identations,https://healtheg.com/ar/Item/1596/المركز-التخصصى-لفحوص-القلب,"Al -Galaa St. - floor 1, in front of Egypt Air, Zagazig, Eastern",Eastern-Zagazig,N/a,,https://healtheg.com//content/images/healtheg_300.png,0552301596,,"Al -Galaa St. - floor 1, in front of Egypt Air, Zagazig, Eastern",,Location not found
31,Children's Specialized Center,https://healtheg.com/ar/Item/1604/المركز-التخصصى-للاطفال,"91 Ahmed Shawky St., Mustafa Kamel, Alexandria",Alexandria-Mustafa Kamel,N/a,,https://healtheg.com//content/images/healtheg_300.png,035228281,,"91 Ahmed Shawky St., Mustafa Kamel, Alexandria",,Location not found
32,Specialized Center for Physiotherapy,https://healtheg.com/ar/Item/1630/المركز-التخصصى-للعلاج-الطبيعى,"12 Orabi Tower - Ahmed Orabi St., in front of Fahim Fruits, forty District, Suez",Suez-forty-year-old,N/a,,https://healtheg.com//content/images/healtheg_300.png,01227765836 - 0623222383,,"12 Orabi Tower - Ahmed Orabi St., in front of Fahim Fruits, forty District, Suez",,Location not found
33,International Center for Physiotherapy,https://healtheg.com/ar/Item/1652/المركز-الدولى-للعلاج-الطبيعى,"Zain El Abidine St., Mit Ghamr, Dakahlia",Dakahlia-Matt Ghamr,N/a,,https://healtheg.com//content/images/healtheg_300.png,01227953152 - 01227308355,,"Zain El Abidine St., Mit Ghamr, Dakahlia",,Location not found
34,International Center for Physiotherapy and Slimming,https://healtheg.com/ar/Item/3273/المركز-الدولى-للعلاج-الطبيعى-والتخسيس,"Delta Tower - - Floor 3, within the position of Talaat Harb, Al -Mahalla Al -Kubra, Western",Western-Greater Mahala,N/a,,https://healtheg.com//content/images/healtheg_300.png,01287966363,,"Delta Tower - - Floor 3, within the position of Talaat Harb, Al -Mahalla Al -Kubra, Western",,Location not found
35,International Center for Physiotherapy and Palm Treatment,https://healtheg.com/ar/Item/1142/المركز-الدولى-للعلاج-الطبيعى-وعلاج-الالام,"1 Othman Horoscope - Al -Saada St. Roxy Square, higher if carnival, Heliopolis, Cairo",Cairo-Heliopolis,N/a,,https://healtheg.com//content/images/healtheg_300.png,0224537001 - 0224537002 - 01201111211 - 0224537004,,"1 Othman Horoscope - Al -Saada St. Roxy Square, higher if carnival, Heliopolis, Cairo",,Location not found
36,The Swiss Medical Center in Cairo,https://healtheg.com/ar/Item/91/المركز-السويسرى-الطبى-بالقاهرة,"Al Salam Tower - Nile Corniche - floor 11, next to Al Salam International Hospital, Maadi, Cairo",Cairo-Maadi,N/a,,https://healtheg.com//content/images/healtheg_300.png,0225286894 - 01281500400 - 0225286895,,"Al Salam Tower - Nile Corniche - floor 11, next to Al Salam International Hospital, Maadi, Cairo",,Location not found
37,Tourist Center for Diving Insurance and Protection,https://healtheg.com/ar/Item/3317/المركز-السياحى-لتأمين-وحماية-الغوص,"In front of the Suez Canal University building, Sharm El Water, Sharm El Sheikh",Sharm El-Sheikh-Bares Water,N/a,,https://healtheg.com//content/images/healtheg_300.png,0693660922 - 0693660923 - 01223331325 - 01222124292,,"In front of the Suez Canal University building, Sharm El Water, Sharm El Sheikh",,Location not found
38,Health Center - Bulaq Dakrur,https://healtheg.com/ar/Item/1296/المركز-الصحى---بولاق-الدكرور,3 Sharif St.,Giza-Bulaq Dakrur,N/a,,https://healtheg.com//content/images/healtheg_300.png,0237388986,,3 Sharif St.,,"lat: -27.3868784, lng: 152.9961992"
39,The General Health Center - Kafr Tahrams,https://healtheg.com/ar/Item/1552/المركز-الصحى-العام---كفر-طهرمس,Queen St.,Giza-Bulaq Dakrur,N/a,,https://healtheg.com//content/images/healtheg_300.png,0237219038,,Queen St.,,"lat: -27.4655959, lng: 153.0303842"
40,Medical Center,https://healtheg.com/ar/Item/68/المركز-الطبى,"Administrative District, Al -Rehab City, Cairo",Cairo-Al-Rehab city,N/a,,https://healtheg.com//content/images/healtheg_300.png,0226072043,,"Administrative District, Al -Rehab City, Cairo",,Location not found
41,Specialized medical center,https://healtheg.com/ar/Item/79/المركز-الطبى-التخصصى,"14 Kabul St., Nasr City, Cairo",Cairo-Nasr Country,N/a,,https://healtheg.com//content/images/healtheg_300.png,0223504927,,"14 Kabul St., Nasr City, Cairo",,Location not found
42,The medical center for war production,https://healtheg.com/ar/Item/301/المركز-الطبى-التخصصى-للانتاج-الحربى,"50 Ismail Kamel St., next to the Azam Mosque - East Helwan - Helwan Department, Cairo Governorate",Cairo-Color,N/a,,https://healtheg.com//content/images/healtheg_300.png,0225588151 - 0225588153 - 0225588157 - 0225588159,,"50 Ismail Kamel St., next to the Azam Mosque - East Helwan - Helwan Department, Cairo Governorate",عن المؤسسةيسعى المركز الطبي التخصصي للإنتاج الحربي أن يكون مركزاً متميزاً ورائداً فى الخدمات الصحية والبحثية وتحقيق الريادة في قطاع الخدمات الصحية.كما يهدف الي تقديم رعاية صحية متكاملة ضمن قيم مهنية متميزة، متطورة وآمنة فى متناول الجميع مع مراعاة معايير الجودة.تم تجهيز الأقسام الداخلية للمركز الطبي بأحدث التجهيزات الطبية في كافة فروع الطب الحديث وهذا الصرح الطبي الكبير بارتفاع (7) أدوار مكيفة الهواء بالكـامـل بسعة (210) سرير.تم تجهيز قسم الأشعة بالعديد من الأجهزة التشخيصية والتداخلية.قسم الطب الطبيعي والروماتيزم والتأهيل مزود بأجهزة للعلاج الكهربائي والحراري والمائي وأجهزة تنبيه العضلات والأعصاب بالليزر وجمنازيوم مزود بأجهزة التمرينات العلاجية ومزود أيضاً بأجهزة لقياس كفاءة العضلات والعلاج بالتبريد.يهتم المركز الطبي التخصصي بتنفيذ تعليمات برامج مكافحة العدوى داخل أقسامه ووحداته كجزء من الإستراتيجية الشاملة للوقاية من انتقال الأمراض بالعدوى.الكلمات الدلالية المركز الطبي التخصصي للإنتاج الحربيرقم هاتف المركز الطبي التخصصي للإنتاج الحربيعنوان المركز الطبي التخصصي للإنتاج الحربيحجز موعد في المركز الطبي التخصصي للإنتاج الحربيرقم استقبال المركز الطبي التخصصي للإنتاج الحربيارقام مستشفي الانتاج الحربى حلوانعيادة الانتاج الحربى بحلوانوظائف مستشفى الإنتاج الحربيارقام تليفونات مستشفى الانتاج الحربى بحلوان,Location not found
43,The new medical center,https://healtheg.com/ar/Item/75/المركز-الطبى-الجديد,"88 Ibn Suleir Square, Saray Al -Qobba, Cairo",Cairo-Saray Al-Quba,N/a,,https://healtheg.com//content/images/healtheg_300.png,0224548456,,"88 Ibn Suleir Square, Saray Al -Qobba, Cairo",,Location not found
44,The new medical center Alexandria,https://healtheg.com/ar/Item/1269/المركز-الطبى-الجديد-الاسكندرية,"May 14 Bridge Road, Ezbet Saad, Sidi Jaber Division, Alexandria",Alexandria-Smouha,N/a,,https://healtheg.com//content/images/healtheg_300.png, 4296920 – 427652 - 0122370171 – 0122370117,,"May 14 Bridge Road, Ezbet Saad, Sidi Jaber Division, Alexandria",عن المؤسسةتقع مستشفى المركز الطبى الجديد – الإسكندرية التى تم إنشاؤها عام 1988 كأول مستشفى خاص يؤسس ويبنى كمستشفى متكامل ليقدم خدماته المتميزة والمتكاملة لمواطنى محافظة الإسكندرية والمحافظات المجاورة تحت إشراف نخبة متميزة من أساتذة جامعة الإسكندرية و الإستشاريين و الإخصائيين فى جميع فروع الطب .وعلى مدار اكثر من 26 عاما و بفضل الله ثم جهود كافة العاملين بالمركز الطبي الجديد فقد تنامت قدرات المركز الطبي الجديد و زادت امكانياته البشرية و التقنية و الطبية و الفندقية.و ايمانا بحق كافة المواطنين فى الحصول على خدمة طبية راقية و فعالة و باسعار مناسبة فقد تم افتتاح المركز الطبي الجديد كرموز حيث توظف جميع امكانيات و خبرات المركز الطبي الجديد الاسكندرية لخدمة اهالي منطقة كرموز و المناطق المجاورة و باسعار مناسبة يراعى فيها التوازن بين تقديم خدمة طبية ذات جودة عالية و اسعار مناسبة لكافة المواطنينو تتبع المستشفيان نفس السياسات و الاجراءات الطبية و الفنية و الادارية.و حرصا من المستشفى على اتباع اقصى المعايير العالمية لسلامة المرضى فقد تم انشاء ادارة خاصة بالجودة و قسم خاص بمكافحة العدوى و قد توج مجهودهما بحصول المستشفى على شهادة ISO 9001/2008.ويتشرف المركز الطبي الجديد الاسكندرية بان يعمل به مجموعة متميزة من اساتذة الجامعات و الاستشاريين و الاخصائيين على مستوى عالي من الكفائة يعاونهم فريق تمريضي متميز من خريجي كليات التمرض و المعاهد الفنية التمريضية .تعمل العيادات الخارجية بالمركز الطبى الجديد الاسكندرية بصفة مستمرة ومتتالية على مدار الفترة من التاسعة صباحاً وحتى التاسعة مساًءً وتغطى كافة التخصصات الطبية حيث تحتوى على أكثر من 35 تخصص مختلف تغطى كافة فروع الطب ويعمل بها مجموعة متميزة من الأساتذة و الإستشاريين و الأخصائين كما تتميز بوجود اماكن واسعة للإنتظار من أجل راحة المرضى.الكلمات الدلالية المركز الطبي الجديد الاسكندريةرقم هاتف المركز الطبي الجديد الاسكندريةعنوان المركز الطبي الجديد الاسكندريةحجز موعد في المركز الطبي الجديد الاسكندريةرقم استقبال المركز الطبي الجديد الاسكندريةتخصصات المركز الطبي الجديد الاسكندريةمختبر المركز الطبي الجديد الاسكندريةأسعار الكشف في المركز الطبي الجديد الاسكندريةأقسام المركز الطبي الجديد الاسكندريةأسعار المركز الطبي الجديد الاسكندريةمواعيد عيادات المركز الطبي الجديد الاسكندرية,Location not found
45,Modern Medical Center,https://healtheg.com/ar/Item/78/المركز-الطبى-الحديث,"5 Al -Ghamrawi St., Shubra, Cairo",Cairo-Shubra Egypt,N/a,,https://healtheg.com//content/images/healtheg_300.png,0224329091,,"5 Al -Ghamrawi St., Shubra, Cairo",,Location not found
46,Modern Medical Center for Physiotherapy,https://healtheg.com/ar/Item/1635/المركز-الطبى-الحديث-للعلاج-الطبيعى,"Al -Raida St. - Mitrah Barra, next to the Mit Barah, Quesna, Menoufia, Mitnouq",Menoufia-Quena,N/a,,https://healtheg.com//content/images/healtheg_300.png,0482543949 - 0482587087,,"Al -Raida St. - Mitrah Barra, next to the Mit Barah, Quesna, Menoufia, Mitnouq",,Location not found
47,International Medical Center,https://healtheg.com/ar/Item/53520/المركز-الطبي-العالمي,"Kilo 42, Cairo, Ismailia Desert Road, near Gate 2, Al -Shorouk City, Egypt, Egypt",Cairo-Al-Shorouk,N/a,,https://healtheg.com//content/images/healtheg_300.png,24775902-02 - 02-24775903,,"Kilo 42, Cairo, Ismailia Desert Road, near Gate 2, Al -Shorouk City, Egypt, Egypt",عن المؤسسةيضم المركز الطبي العالمي أكثر من مائة من الخبراء الاستشاريين الذين يعملون في العديد من التخصصات الطبية والجراحية المختلفة لديه نظام فائق لمراقبة الجودة والرعاية الصحية الفعالة من حيث التكلفة في المجتمعات التي يخدمها.العديد من الخبراء والإستشاريين الأجانب يزورون المركز الطبي العالمي كل عام، مما يتيح له تقديم أحدث طرق العلاج الطبي.يضم المركز الطبي العالمي أحدث المعدات الطبية في كافة التخصصات .تم تجهيز المركز الطبي العالمي بمدرج للطائرات المروحية لإستقبال الحالات الحرجة .يضم المركز الطبي العالمي بقسم الطوارئ قسم خاص لإزالة حالات التلوث المختلفة كالتلوث الكيميائي أو التلوث البيولوجي أو حتى التلوث الإشعاعيالمركز الطبي العالمي حاصل على إعتماد اللجنة الدولية المشتركة (JCI)يضم المركز الطبي العالمي قسماً فندقياً ، لأسر المرضى القادمين من المحافظات المختلفة ، أو للأجانب من خارج جمهورية مصر العربيةالكلمات الدلالية المركز الطبي العالميرقم هاتف المركز الطبي العالميعنوان المركز الطبي العالميحجز موعد المركز الطبي العالميرقم استقبال المركز الطبي العالميمواعيد المركز الطبي العالميأطباء المركز الطبي العالميتخصصات المركز الطبي العالمي,Location not found
48,Lebanese medical center,https://healtheg.com/ar/Item/77/المركز-الطبى-اللبنانى,"17 Abdel Hamid Othman St., Ain Shams, Cairo",Cairo-Ain Shams,N/a,,https://healtheg.com//content/images/healtheg_300.png,0226440384 - 0226440458,,"17 Abdel Hamid Othman St., Ain Shams, Cairo",,Location not found
49,Egyptian medical center,https://healtheg.com/ar/Item/1291/المركز-الطبى-المصرى,55 Doctors ’Tower - Al -Naad Al -Sports St. is branched from Faisal St.,Giza-Faisal,N/a,,https://healtheg.com//content/images/healtheg_300.png,0235690462,,55 Doctors ’Tower - Al -Naad Al -Sports St. is branched from Faisal St.,,Location not found
50,The Egyptian Medical Center - ICC,https://healtheg.com/ar/Item/1323/المركز-الطبى-المصرى---اى-ام-سى,"164 Pyramid St., Al -Haram, Giza",Giza-the pyramid,N/a,,https://healtheg.com//content/images/healtheg_300.png,0237802499,,"164 Pyramid St., Al -Haram, Giza",,Location not found
